                leaf          error rate             true nn           subdomain
                0.01              0.9853              0.2156             781.225
               0.013              0.9853              0.2156             781.225
               0.015              0.9853              0.2156             781.225
                0.02              0.9862              0.2858             1562.48
                0.03              0.9862              0.2858             1562.48
                0.05              0.9861              0.3759             3124.98
                0.08              0.9866              0.4739                6250
                 0.1              0.9866              0.4739                6250
                0.13              0.9863              0.5825               12500
                0.15              0.9863              0.5825               12500
