                leaf          error rate             true nn           subdomain
                0.01              0.9863              0.0917             781.245
               0.013              0.9863              0.0917             781.245
               0.015              0.9863              0.0917             781.245
                0.02              0.9859              0.1333              1562.5
                0.03              0.9859              0.1333              1562.5
                0.05              0.9864              0.1896             3124.99
                0.08              0.9868              0.2708                6250
                 0.1              0.9868              0.2708                6250
                0.13              0.9854              0.3718               12500
                0.15              0.9854              0.3718               12500
