                leaf          error rate             true nn           subdomain
                0.01              0.9863              0.1844             781.318
               0.013              0.9863              0.1844             781.318
               0.015              0.9863              0.1844             781.318
                0.02              0.9865              0.2468             1562.59
                0.03              0.9865              0.2468             1562.59
                0.05              0.9854              0.3245             3125.06
                0.08              0.9853              0.4133             6250.04
                 0.1              0.9853              0.4133             6250.04
                0.13              0.9846              0.5121               12500
                0.15              0.9846              0.5121               12500
