                leaf          error rate             true nn           subdomain
               0.001              0.9891              0.0018             966.798
               0.002              0.9881              0.0019             1933.61
               0.004              0.9884              0.0022             3867.19
               0.006              0.9884              0.0022             3867.19
               0.008              0.9868              0.0024             7734.37
                0.01              0.9868              0.0024             7734.37
               0.015              0.9868              0.0024             7734.37
                0.02              0.9853              0.0031             15468.8
                0.03              0.9853              0.0031             15468.8
                0.05              0.9858              0.0036             30937.5
