                leaf          error rate             true nn           subdomain
               0.001              0.9867              0.1629             966.846
               0.002              0.9858              0.2126             1933.66
               0.004              0.9857              0.2737             3867.22
               0.006              0.9857              0.2737             3867.22
               0.008              0.9853              0.3429             7734.42
                0.01              0.9853              0.3429             7734.42
               0.015              0.9853              0.3429             7734.42
                0.02              0.9851              0.4218             15468.8
                0.03              0.9851              0.4218             15468.8
                0.05              0.9848              0.5116             30937.6
