                leaf          error rate             true nn           subdomain
               0.001              0.9843               0.205             972.723
               0.002              0.9833              0.2673             1945.55
               0.004              0.9822              0.3493             3891.17
               0.006              0.9822              0.3493             3891.17
               0.008              0.9825              0.4415             7782.49
                0.01              0.9825              0.4415             7782.49
               0.015              0.9825              0.4415             7782.49
                0.02              0.9836              0.5438             15565.1
                0.03              0.9836              0.5438             15565.1
                0.05              0.9836              0.6496             31130.2
