                leaf               alpha          error rate             true nn           subdomain        space blowup
                0.01                0.05               0.987              0.1478             836.955             1.94944
                0.01                 0.1              0.9884              0.1528             604.219             5.16096
               0.013                0.05               0.987              0.1478             836.955             1.94944
               0.013                 0.1              0.9873              0.1863             1007.42              4.3008
               0.015                0.05               0.987              0.1478             836.955             1.94944
               0.015                 0.1              0.9873              0.1863             1007.42              4.3008
                0.02                0.05              0.9874              0.1907              1521.9             1.77216
                0.02                 0.1              0.9863              0.2274             1679.24               3.584
                0.03                0.05              0.9871              0.2442             2767.79             1.61088
                0.03                 0.1              0.9862              0.2787             2799.25             2.98624
                0.05                0.05              0.9871              0.2442             2767.79             1.61088
                0.05                 0.1              0.9859              0.3336              4665.5             2.48832
                0.08                0.05               0.987              0.3108             5032.54             1.46416
                0.08                 0.1              0.9859              0.3965                7776              2.0736
                 0.1                0.05              0.9868              0.3834             9150.29             1.33104
                 0.1                 0.1              0.9859              0.3965                7776              2.0736
                0.13                0.05              0.9868              0.3834             9150.29             1.33104
                0.13                 0.1              0.9858              0.4694               12960               1.728
                0.15                0.05              0.9868              0.3834             9150.29             1.33104
                0.15                 0.1              0.9858              0.4694               12960               1.728
