                leaf          error rate             true nn           subdomain
               0.001              0.9848              0.0686             972.817
               0.002              0.9845              0.0909             1945.65
               0.004              0.9838                0.12             3891.29
               0.006              0.9838                0.12             3891.29
               0.008              0.9834               0.157             7782.59
                0.01              0.9834               0.157             7782.59
               0.015              0.9834               0.157             7782.59
                0.02              0.9838              0.2059             15565.2
                0.03              0.9838              0.2059             15565.2
                0.05              0.9831               0.272             31130.3
