                leaf          error rate             true nn           subdomain
                0.01              0.9864              0.1249              781.26
               0.013              0.9864              0.1249              781.26
               0.015              0.9864              0.1249              781.26
                0.02              0.9851              0.1781              1562.5
                0.03              0.9851              0.1781              1562.5
                0.05              0.9856              0.2518                3125
                0.08              0.9853              0.3401             6249.99
                 0.1              0.9853              0.3401             6249.99
                0.13              0.9866              0.4522               12500
                0.15              0.9866              0.4522               12500
