                leaf          error rate             true nn           subdomain
                0.01               0.986              0.2798             781.251
               0.013               0.986              0.2798             781.251
               0.015               0.986              0.2798             781.251
                0.02              0.9863              0.3479              1562.5
                0.03              0.9863              0.3479              1562.5
                0.05              0.9861              0.4214                3125
                0.08              0.9864              0.5004                6250
                 0.1              0.9864              0.5004                6250
                0.13              0.9867              0.5913               12500
                0.15              0.9867              0.5913               12500
