                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.001                 0.1              0.9831              0.2415             780.136             12.8615
               0.002                 0.1              0.9841              0.2844             1300.45              10.707
               0.004                 0.1              0.9837              0.3809             3613.49             7.43198
               0.006                 0.1              0.9837              0.3809             3613.49             7.43198
               0.008                 0.1              0.9837               0.436             6022.95             6.19229
                0.01                 0.1              0.9837               0.436             6022.95             6.19229
               0.015                 0.1              0.9839              0.4994             10038.7             5.16024
                0.02                 0.1              0.9836              0.5685             16731.5             4.30011
                0.03                 0.1              0.9832              0.6416             27885.9             3.58326
                0.05                 0.1              0.9829              0.7107             46476.8             2.98603
