                leaf          error rate             true nn           subdomain
                0.01              0.9862              0.1462             781.295
               0.013              0.9862              0.1462             781.295
               0.015              0.9862              0.1462             781.295
                0.02              0.9866              0.1969             1562.53
                0.03              0.9866              0.1969             1562.53
                0.05              0.9872              0.2619             3125.01
                0.08              0.9865              0.3496                6250
                 0.1              0.9865              0.3496                6250
                0.13              0.9861              0.4667               12500
                0.15              0.9861              0.4667               12500
