                leaf          error rate             true nn           subdomain
                0.01              0.9851              0.1601             781.283
               0.013              0.9851              0.1601             781.283
               0.015              0.9851              0.1601             781.283
                0.02              0.9859              0.2227              1562.5
                0.03              0.9859              0.2227              1562.5
                0.05              0.9851              0.3065                3125
                0.08              0.9854              0.4109             6250.01
                 0.1              0.9854              0.4109             6250.01
                0.13              0.9851              0.5295               12500
                0.15              0.9851              0.5295               12500
