                leaf               alpha          error rate             true nn           subdomain        space blowup
                0.01                0.05              0.9861              0.3461                 836             1.94688
                0.01                 0.1              0.9866               0.367                 604             5.15584
               0.013                0.05              0.9861              0.3461                 836             1.94688
               0.013                 0.1              0.9865              0.4279                1007             4.29824
               0.015                0.05              0.9861              0.3461                 836             1.94688
               0.015                 0.1              0.9865              0.4279                1007             4.29824
                0.02                0.05              0.9858              0.4094                1521             1.77088
                0.02                 0.1              0.9858              0.4897                1679             3.58272
                0.03                0.05              0.9866              0.4813                2767             1.61024
                0.03                 0.1              0.9858              0.5472                2799              2.9856
                0.05                0.05              0.9866              0.4813                2767             1.61024
                0.05                 0.1              0.9868              0.6015                4665             2.48832
                0.08                0.05              0.9868              0.5498                5032               1.464
                0.08                 0.1              0.9865              0.6544                7776              2.0736
                 0.1                0.05              0.9867              0.6165                9150             1.33096
                 0.1                 0.1              0.9865              0.6544                7776              2.0736
                0.13                0.05              0.9867              0.6165                9150             1.33096
                0.13                 0.1              0.9864               0.704               12960               1.728
                0.15                0.05              0.9867              0.6165                9150             1.33096
                0.15                 0.1              0.9864               0.704               12960               1.728
