                leaf          error rate             true nn           subdomain
               0.015              0.5084              0.3499             390.634
                0.03              0.4913              0.4247             781.246
                0.06              0.4768              0.5198              1562.5
                0.09              0.4612              0.6201                3125
                 0.1              0.4612              0.6201                3125
                0.13              0.4494              0.7232                6250
                0.15              0.4494              0.7232                6250
                0.17              0.4494              0.7232                6250
                0.19              0.4494              0.7232                6250
                0.21              0.4494              0.7232                6250
