                leaf          error rate             true nn           subdomain
               0.015               0.462              0.5818              1562.5
                0.03              0.4554              0.6697             3124.99
                0.06              0.4439              0.7655             6249.98
                0.09              0.4404              0.8524               12500
                 0.1              0.4404              0.8524               12500
                0.13              0.4328              0.9323               25000
                0.15              0.4328              0.9323               25000
                0.17              0.4328              0.9323               25000
                0.19              0.4328              0.9323               25000
                0.21              0.4328              0.9323               25000
