                leaf          error rate             true nn           subdomain
               0.015               0.477              0.4581              390.65
                0.03              0.4682               0.552             781.271
                0.06              0.4581              0.6492             1562.51
                0.09              0.4491              0.7444                3125
                 0.1              0.4491              0.7444                3125
                0.13              0.4417              0.8331                6250
                0.15              0.4417              0.8331                6250
                0.17              0.4417              0.8331                6250
                0.19              0.4417              0.8331                6250
                0.21              0.4417              0.8331                6250
