                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05              0.4909              0.4453             418.352             1.94
               0.015                 0.1              0.4811              0.5328             503.259              4.30
                0.03                0.05               0.472               0.582             1383.43             1.61
                0.03                 0.1              0.4625              0.6547             1399.26             2.98
                0.06                0.05              0.4626              0.6528             2515.86               1.46
                0.06                 0.1              0.4559              0.7134             2332.52             2.48
                0.09                0.05              0.4626              0.6528             2515.86               1.46
                0.09                 0.1              0.4495              0.7735                3888              2.07
                 0.1                0.05              0.4515              0.7264             4574.74             1.33
                 0.1                 0.1              0.4495              0.7735                3888              2.07
                0.13                0.05              0.4515              0.7264             4574.74             1.33
                0.13                 0.1              0.4416              0.8249                6480               1.72
                0.15                0.05              0.4515              0.7264             4574.74             1.33
                0.15                 0.1              0.4416              0.8249                6480               1.72
                0.17                0.05              0.4417              0.8003             8318.49                1.21
                0.17                 0.1              0.4416              0.8249                6480               1.72
                0.19                0.05              0.4417              0.8003             8318.49                1.21
                0.19                 0.1              0.4416              0.8249                6480               1.72
                0.21                0.05              0.4417              0.8003             8318.49                1.21
                0.21                 0.1              0.4416              0.8249                6480               1.72
