                leaf          error rate             true nn           subdomain
               0.015               0.511              0.3628             390.626
                0.03              0.4984              0.4379             781.256
                0.06              0.4882              0.5229              1562.5
                0.09              0.4735               0.613                3125
                 0.1              0.4735               0.613                3125
                0.13               0.459              0.7027                6250
                0.15               0.459              0.7027                6250
                0.17               0.459              0.7027                6250
                0.19               0.459              0.7027                6250
                0.21               0.459              0.7027                6250
