                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05              0.5017              0.3955             418.341             1.95072
               0.015                 0.1              0.4863              0.4826             503.533              4.3008
                0.03                0.05              0.4725              0.5414             1383.48             1.61088
                0.03                 0.1              0.4653              0.6148             1399.29             2.98624
                0.06                0.05              0.4635              0.6228             2515.89             1.46432
                0.06                 0.1               0.454              0.6832             2332.54             2.48832
                0.09                0.05              0.4635              0.6228             2515.89             1.46432
                0.09                 0.1              0.4502              0.7504                3888              2.0736
                 0.1                0.05              0.4522              0.7069             4574.75             1.33104
                 0.1                 0.1              0.4502              0.7504                3888              2.0736
                0.13                0.05              0.4522              0.7069             4574.75             1.33104
                0.13                 0.1              0.4443              0.8094                6480               1.728
                0.15                0.05              0.4522              0.7069             4574.75             1.33104
                0.15                 0.1              0.4443              0.8094                6480               1.728
                0.17                0.05              0.4421              0.7919             8318.48                1.21
                0.17                 0.1              0.4443              0.8094                6480               1.728
                0.19                0.05              0.4421              0.7919             8318.48                1.21
                0.19                 0.1              0.4443              0.8094                6480               1.728
                0.21                0.05              0.4421              0.7919             8318.48                1.21
                0.21                 0.1              0.4443              0.8094                6480               1.728
