                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05              0.5023              0.3937             418.377             1.94816
               0.015                0.07              0.4925              0.4518             556.475             2.50368
               0.015                 0.1              0.4856              0.4827             503.284              4.3008
               0.015                0.12              0.4803              0.5396             676.151             5.59104
               0.015                0.15              0.4698              0.5798             672.472             10.5984
               0.015                0.17              0.4713              0.5894              609.93             18.6573
               0.015                0.19              0.4755              0.6032              581.42             34.5702
               0.015                0.21              0.4698              0.6243             581.781             67.2563
               0.015                0.23              0.4649              0.6553             609.508              136.97
                0.03                0.05              0.4727              0.5417             1383.46             1.61024
                0.03                0.07              0.4789              0.5224             976.934              2.1952
                0.03                 0.1              0.4654              0.6147             1399.28             2.98624
                0.03                0.12              0.4732              0.5989             1091.14             4.50816
                0.03                0.15              0.4671              0.6338             1034.93             8.15616
                0.03                0.17              0.4593              0.6875             1359.75             10.3936
                0.03                0.19              0.4598              0.6935             1222.24             18.1555
                0.03                0.21              0.4602              0.7104             1154.84             33.3414
                0.03                0.23              0.4581              0.7284             1144.34             64.2253
               0.045                0.05              0.4727              0.5417             1383.46             1.61024
               0.045                0.07              0.4648              0.5981             1714.38             1.92512
               0.045                 0.1              0.4654              0.6147             1399.28             2.98624
               0.045                0.12              0.4617              0.6654             1760.23              3.6352
               0.045                0.15              0.4597              0.6872             1592.87             6.27456
               0.045                0.17               0.454              0.7359             2029.75              7.7568
               0.045                0.19              0.4549              0.7398             1771.83             13.1533
               0.045                0.21              0.4545              0.7519              1626.9             23.4803
               0.045                0.23                0.45              0.8022             2147.83             30.1363
                0.06                0.05              0.4636              0.6228             2515.85               1.464
                0.06                0.07              0.4648              0.5981             1714.38             1.92512
                0.06                 0.1               0.454              0.6832             2332.54             2.48832
                0.06                0.12               0.452              0.7298             2839.42             2.93184
                0.06                0.15              0.4523               0.741             2450.75             4.82688
                0.06                0.17               0.454              0.7359             2029.75              7.7568
                0.06                0.19              0.4489              0.7834             2568.33             9.53088
                0.06                0.21              0.4489              0.7891             2291.68             16.5325
                0.06                0.23              0.4456              0.8327             2942.69             20.6438
               0.075                0.05              0.4636              0.6228             2515.85               1.464
               0.075                0.07              0.4575               0.674             3007.85             1.68896
               0.075                 0.1               0.454              0.6832             2332.54             2.48832
               0.075                0.12               0.452              0.7298             2839.42             2.93184
               0.075                0.15              0.4523               0.741             2450.75             4.82688
               0.075                0.17              0.4464              0.7857             3029.75             5.78944
               0.075                0.19              0.4441               0.823             3722.63             6.90688
               0.075                0.21              0.4452              0.8255             3228.08             11.6429
               0.075                0.23              0.4456              0.8327             2942.69             20.6438
                0.09                0.05              0.4636              0.6228             2515.85               1.464
                0.09                0.07              0.4575               0.674             3007.85             1.68896
                0.09                 0.1              0.4502              0.7504                3888              2.0736
                0.09                0.12               0.452              0.7298             2839.42             2.93184
                0.09                0.15              0.4472              0.7902             3770.51             3.71264
                0.09                0.17              0.4464              0.7857             3029.75             5.78944
                0.09                0.19              0.4441               0.823             3722.63             6.90688
                0.09                0.21              0.4452              0.8255             3228.08             11.6429
                0.09                0.23              0.4412              0.8652             4031.47             14.1389
               0.105                0.05              0.4522              0.7069             4574.73             1.33104
               0.105                0.07              0.4575               0.674             3007.85             1.68896
               0.105                 0.1              0.4502              0.7504                3888              2.0736
               0.105                0.12              0.4465              0.7866             4580.06             2.36416
               0.105                0.15              0.4472              0.7902             3770.51             3.71264
               0.105                0.17              0.4435              0.8274             4522.52                4.32
               0.105                0.19              0.4441               0.823             3722.63             6.90688
               0.105                0.21              0.4406              0.8592             4546.92              8.1984
               0.105                0.23              0.4412              0.8652             4031.47             14.1389
                0.12                0.05              0.4522              0.7069             4574.73             1.33104
                0.12                0.07              0.4475              0.7495             5277.72              1.4816
                0.12                 0.1              0.4502              0.7504                3888              2.0736
                0.12                0.12              0.4465              0.7866             4580.06             2.36416
                0.12                0.15              0.4419              0.8388                5801               2.856
                0.12                0.17              0.4435              0.8274             4522.52                4.32
                0.12                0.19              0.4419              0.8604             5395.27              5.0048
                0.12                0.21              0.4406              0.8592             4546.92              8.1984
                0.12                0.23               0.436              0.8911             5522.88             9.68448
               0.135                0.05              0.4522              0.7069             4574.73             1.33104
               0.135                0.07              0.4475              0.7495             5277.72              1.4816
               0.135                 0.1              0.4443              0.8094                6480               1.728
               0.135                0.12              0.4465              0.7866             4580.06             2.36416
               0.135                0.15              0.4419              0.8388                5801               2.856
               0.135                0.17              0.4435              0.8274             4522.52                4.32
               0.135                0.19              0.4419              0.8604             5395.27              5.0048
               0.135                0.21              0.4383              0.8909              6404.4             5.77344
               0.135                0.23               0.436              0.8911             5522.88             9.68448
                0.15                0.05              0.4522              0.7069             4574.73             1.33104
                0.15                0.07              0.4475              0.7495             5277.72              1.4816
                0.15                 0.1              0.4443              0.8094                6480               1.728
                0.15                0.12               0.441              0.8395             7387.53             1.90656
                0.15                0.15              0.4419              0.8388                5801               2.856
                0.15                0.17               0.438              0.8682                6750               3.224
                0.15                0.19              0.4419              0.8604             5395.27              5.0048
                0.15                0.21              0.4383              0.8909              6404.4             5.77344
                0.15                0.23               0.436              0.8911             5522.88             9.68448
