                leaf               alpha          error rate             true nn           subdomain    number of leaves
               0.015                0.05                0.49              0.4631             747.003              1.91
               0.015                0.07              0.4801              0.5244             955.298              2.44
               0.015                 0.1              0.4644              0.6085             1348.26              3.45
               0.015                0.12               0.459              0.6584             1667.67              4.26
               0.015                0.15              0.4497              0.7294             2276.46              5.82
               0.015                0.17              0.4474              0.7705             2732.57              6.99
               0.015                0.19               0.444              0.8069             3287.38              8.41
               0.015                0.21              0.4413               0.839             3931.36             10.06
               0.015                0.23              0.4376              0.8699             4670.43             11.95
                0.03                0.05              0.4765              0.5438             1366.06              1.74
                0.03                0.07              0.4704              0.6006             1685.89               2.15
                0.03                 0.1               0.457              0.6808             2263.19               2.89
                0.03                0.12              0.4521              0.7263             2719.72              3.48
                0.03                0.15              0.4442              0.7893             3561.51               4.55
                0.03                0.17              0.4421              0.8251             4172.25              5.34
                0.03                0.19              0.4391              0.8557             4903.51              6.27
                0.03                0.21              0.4374              0.8816             5717.89              7.31
                0.03                0.23              0.4354              0.9041             6633.12               8.49
               0.045                0.05              0.4692              0.6345             2497.95              1.59
               0.045                0.07              0.4628              0.6884             2987.32              1.91
               0.045                 0.1              0.4517               0.759             3818.55              2.44
               0.045                0.12              0.4461              0.7985              4467.9              2.85
               0.045                0.15              0.4412              0.8498             5616.46              3.59
               0.045                0.17              0.4392              0.8782             6412.68              4.10
               0.045                0.19              0.4355              0.9028             7344.85              4.70
               0.045                0.21              0.4341              0.9229             8383.26              5.36
               0.045                0.23              0.4331              0.9391             9536.35              6.10
                0.06                0.05              0.4692              0.6345             2497.95              1.59
                0.06                0.07              0.4628              0.6884             2987.32              1.91
                0.06                 0.1              0.4517               0.759             3818.55              2.44
                0.06                0.12              0.4461              0.7985              4467.9              2.85
                0.06                0.15              0.4412              0.8498             5616.46              3.59
                0.06                0.17              0.4392              0.8782             6412.68              4.10
                0.06                0.19              0.4355              0.9028             7344.85              4.70
                0.06                0.21              0.4341              0.9229             8383.26              5.36
                0.06                0.23              0.4331              0.9391             9536.35              6.10
               0.075                0.05              0.4591              0.7153              4567.5              1.46
               0.075                0.07              0.4522              0.7612             5284.69              1.69
               0.075                 0.1              0.4441              0.8218             6471.25              2.07
               0.075                0.12              0.4397              0.8546             7357.19              2.35
               0.075                0.15              0.4353              0.8958             8890.62               2.84
               0.075                0.17              0.4337               0.918             9929.38              3.17
               0.075                0.19              0.4316              0.9362             11131.9              3.56
               0.075                0.21              0.4305              0.9508               12455              3.98
               0.075                0.23              0.4295              0.9614             13899.1              4.44
                0.09                0.05              0.4591              0.7153              4567.5              1.46
                0.09                0.07              0.4522              0.7612             5284.69              1.69
                0.09                 0.1              0.4441              0.8218             6471.25              2.07
                0.09                0.12              0.4397              0.8546             7357.19              2.35
                0.09                0.15              0.4353              0.8958             8890.62               2.84
                0.09                0.17              0.4337               0.918             9929.38              3.17
                0.09                0.19              0.4316              0.9362             11131.9              3.56
                0.09                0.21              0.4305              0.9508               12455              3.98
                0.09                0.23              0.4295              0.9614             13899.1              4.44
               0.105                0.05              0.4591              0.7153              4567.5              1.46
               0.105                0.07              0.4522              0.7612             5284.69              1.69
               0.105                 0.1              0.4441              0.8218             6471.25              2.07
               0.105                0.12              0.4397              0.8546             7357.19              2.35
               0.105                0.15              0.4353              0.8958             8890.62               2.84
               0.105                0.17              0.4337               0.918             9929.38              3.17
               0.105                0.19              0.4316              0.9362             11131.9              3.56
               0.105                0.21              0.4305              0.9508               12455              3.98
               0.105                0.23              0.4295              0.9614             13899.1              4.44
                0.12                0.05              0.4591              0.7153              4567.5              1.46
                0.12                0.07              0.4522              0.7612             5284.69              1.69
                0.12                 0.1              0.4441              0.8218             6471.25              2.07
                0.12                0.12              0.4397              0.8546             7357.19              2.35
                0.12                0.15              0.4353              0.8958             8890.62               2.84
                0.12                0.17              0.4337               0.918             9929.38              3.17
                0.12                0.19              0.4316              0.9362             11131.9              3.56
                0.12                0.21              0.4305              0.9508               12455              3.98
                0.12                0.23              0.4295              0.9614             13899.1              4.44
               0.135                0.05              0.4468              0.7996                8325               1.33
               0.135                0.07              0.4423              0.8349              9287.5               1.48
               0.135                 0.1              0.4359               0.882             10803.8              1.72
               0.135                0.12              0.4325              0.9064             11914.4              1.90
               0.135                0.15              0.4304              0.9376             13729.4              2.19
               0.135                0.17                0.43              0.9526             14898.1              2.38
               0.135                0.19              0.4292              0.9648               16205              2.59
               0.135                0.21              0.4285              0.9739               17630              2.82
               0.135                0.23               0.428              0.9808             19141.2              3.06
                0.15                0.05              0.4468              0.7996                8325               1.33
                0.15                0.07              0.4423              0.8349              9287.5               1.48
                0.15                 0.1              0.4359               0.882             10803.8              1.72
                0.15                0.12              0.4325              0.9064             11914.4              1.90
                0.15                0.15              0.4304              0.9376             13729.4              2.19
                0.15                0.17                0.43              0.9526             14898.1              2.38
                0.15                0.19              0.4292              0.9648               16205              2.59
                0.15                0.21              0.4285              0.9739               17630              2.82
                0.15                0.23               0.428              0.9808             19141.2              3.06
