                leaf          error rate             true nn           subdomain
               0.015              0.4894              0.4147             781.256
                0.03              0.4755              0.4979              1562.5
               0.045              0.4642              0.5866                3125
                0.06              0.4642              0.5866                3125
               0.075              0.4536              0.6955                6250
                0.09              0.4536              0.6955                6250
               0.105              0.4536              0.6955                6250
                0.12              0.4536              0.6955                6250
               0.135              0.4428              0.7961               12500
                0.15              0.4428              0.7961               12500
