                leaf          error rate             true nn           subdomain
               0.015              0.4912              0.4069             781.264
                0.03              0.4826              0.4861              1562.5
               0.045              0.4717              0.5601                3125
                0.06              0.4717              0.5601                3125
               0.075              0.4624              0.6354                6250
                0.09              0.4624              0.6354                6250
               0.105              0.4624              0.6354                6250
                0.12              0.4624              0.6354                6250
               0.135               0.456              0.6927               12500
                0.15               0.456              0.6927               12500
