                leaf          error rate             true nn           subdomain
               0.015              0.5017              0.3787             781.257
                0.03              0.4894              0.4593              1562.5
               0.045              0.4805              0.5376                3125
                0.06              0.4805              0.5376                3125
               0.075              0.4652              0.6376                6250
                0.09              0.4652              0.6376                6250
               0.105              0.4652              0.6376                6250
                0.12              0.4652              0.6376                6250
               0.135              0.4561              0.7159               12500
                0.15              0.4561              0.7159               12500
