                leaf          error rate             true nn           subdomain
               0.015              0.4901              0.4279             781.243
                0.03              0.4784               0.515              1562.5
               0.045              0.4663              0.6031             3124.99
                0.06              0.4663              0.6031             3124.99
               0.075              0.4524              0.6887                6250
                0.09              0.4524              0.6887                6250
               0.105              0.4524              0.6887                6250
                0.12              0.4524              0.6887                6250
               0.135              0.4417              0.7863               12500
                0.15              0.4417              0.7863               12500
