                leaf               alpha          error rate             true nn           subdomain
               0.015                0.05              0.4897              0.4465             418.711
                0.03                0.05              0.4721              0.5817             1383.94
               0.045                0.05              0.4721              0.5817             1383.94
                0.06                0.05              0.4625              0.6521             2516.13
               0.075                0.05              0.4625              0.6521             2516.13
                0.09                0.05              0.4625              0.6521             2516.13
               0.105                0.05              0.4515              0.7262             4575.25
                0.12                0.05              0.4515              0.7262             4575.25
               0.135                0.05              0.4515              0.7262             4575.25
                0.15                0.05              0.4515              0.7262             4575.25
               0.015                 0.1              0.4825              0.5336             503.763
                0.03                 0.1              0.4634              0.6549             1399.62
               0.045                 0.1              0.4634              0.6549             1399.62
                0.06                 0.1              0.4562              0.7133             2332.68
               0.075                 0.1              0.4562              0.7133             2332.68
                0.09                 0.1              0.4496              0.7739             3887.83
               0.105                 0.1              0.4496              0.7739             3887.83
                0.12                 0.1              0.4496              0.7739             3887.83
               0.135                 0.1              0.4417               0.825             6480.02
                0.15                 0.1              0.4417               0.825             6480.02
