                leaf          error rate             true nn           subdomain
               0.015              0.5015              0.4037              781.24
                0.03              0.4898              0.4756              1562.5
               0.045              0.4787              0.5459             3125.01
                0.06              0.4787              0.5459             3125.01
               0.075              0.4608              0.6378                6250
                0.09              0.4608              0.6378                6250
               0.105              0.4608              0.6378                6250
                0.12              0.4608              0.6378                6250
               0.135               0.455               0.693               12500
                0.15               0.455               0.693               12500
