                leaf          error rate             true nn           subdomain
               0.015              0.5302              0.1726             390.637
                0.03              0.5138              0.2308             781.249
                0.06              0.4963              0.2983              1562.5
                0.09              0.4824              0.3872             3124.99
                 0.1              0.4824              0.3872             3124.99
                0.13              0.4652              0.5099                6250
                0.15              0.4652              0.5099                6250
                0.17              0.4652              0.5099                6250
                0.19              0.4652              0.5099                6250
                0.21              0.4652              0.5099                6250
