                leaf          error rate             true nn           subdomain
               0.015              0.4976              0.3573             390.632
                0.03              0.4839              0.4408             781.249
                0.06              0.4712              0.5284              1562.5
                0.09              0.4618              0.6292                3125
                 0.1              0.4618              0.6292                3125
                0.13              0.4544              0.7302                6250
                0.15              0.4544              0.7302                6250
                0.17              0.4544              0.7302                6250
                0.19              0.4544              0.7302                6250
                0.21              0.4544              0.7302                6250
