                leaf               alpha          error rate             true nn           subdomain    number of leaves
               0.001                0.05              0.5341               0.264             123.686               2.53
               0.001                 0.1              0.4925              0.3998             286.148              5.86
               0.005                0.05               0.498              0.3897             411.429              2.10
               0.005                 0.1                0.47              0.5348             801.787              4.10
                0.01                0.05                0.49              0.4631             747.003              1.91
                0.01                 0.1              0.4644              0.6085             1348.26              3.45
               0.015                0.05                0.49              0.4631             747.003              1.91
               0.015                 0.1              0.4644              0.6085             1348.26              3.45
               0.015                0.05                0.49              0.4631             747.003              1.91
               0.015                 0.1              0.4644              0.6085             1348.26              3.45
                0.03                0.05              0.4765              0.5438             1366.06              1.74
                0.03                 0.1               0.457              0.6808             2263.19               2.89
               0.045                0.05              0.4692              0.6345             2497.95              1.59
               0.045                 0.1              0.4517               0.759             3818.55              2.44
                0.06                0.05              0.4692              0.6345             2497.95              1.59
                0.06                 0.1              0.4517               0.759             3818.55              2.44
               0.075                0.05              0.4591              0.7153              4567.5              1.46
               0.075                 0.1              0.4441              0.8218             6471.25              2.07
                0.09                0.05              0.4591              0.7153              4567.5              1.46
                0.09                 0.1              0.4441              0.8218             6471.25              2.07
