                leaf          error rate             true nn           subdomain
               0.015              0.5073              0.3613             390.627
                0.03              0.4969              0.4345             781.254
                0.06               0.482              0.5185             1562.51
                0.09              0.4678               0.616                3125
                 0.1              0.4678               0.616                3125
                0.13              0.4551              0.7125                6250
                0.15              0.4551              0.7125                6250
                0.17              0.4551              0.7125                6250
                0.19              0.4551              0.7125                6250
                0.21              0.4551              0.7125                6250
