                leaf          error rate             true nn           subdomain
               0.015              0.0458              0.5605             468.783
                0.03              0.0419              0.6413             937.518
                0.06              0.0382              0.7243                1875
                0.09              0.0368              0.8005                3750
                 0.1              0.0368              0.8005                3750
                0.13              0.0346              0.8579                7500
                0.15              0.0346              0.8579                7500
                0.17              0.0346              0.8579                7500
                0.19              0.0346              0.8579                7500
                0.21              0.0346              0.8579                7500
