                leaf               alpha          error rate             true nn           subdomain
               0.015                0.05              0.0594               0.399             610.176
               0.015                 0.1              0.0569              0.4692             566.214
                0.03                0.05              0.0519              0.4878             1409.71
                0.03                 0.1              0.0497              0.5415             1267.24
                0.06                0.05               0.049              0.5327             2117.55
                0.06                 0.1              0.0462              0.6146             2598.64
                0.09                0.05              0.0469              0.5999             3841.96
                0.09                 0.1              0.0442              0.6504             3629.67
                 0.1                0.05              0.0469              0.5999             3841.96
                 0.1                 0.1              0.0442              0.6504             3629.67
                0.13                0.05              0.0469              0.5999             3841.96
                0.13                 0.1               0.042              0.6995             5895.81
                0.15                0.05              0.0426              0.6573             6141.28
                0.15                 0.1               0.042              0.6995             5895.81
                0.17                0.05                0.04              0.7019             8835.07
                0.17                 0.1               0.042              0.7013             6073.23
                0.19                0.05              0.0396              0.7114             9616.81
                0.19                 0.1              0.0398              0.7445             8776.44
                0.21                0.05              0.0396              0.7114             9616.81
                0.21                 0.1              0.0398              0.7445             8776.44
