                leaf          error rate             true nn           subdomain
               0.015              0.0381              0.7091             468.765
                0.03               0.036              0.7824             937.509
                0.06              0.0347               0.839             1874.99
                0.09              0.0327              0.8898             3749.99
                 0.1              0.0327              0.8898             3749.99
                0.13              0.0324              0.9315                7500
                0.15              0.0324              0.9315                7500
                0.17              0.0324              0.9315                7500
                0.19              0.0324              0.9315                7500
                0.21              0.0324              0.9315                7500
