                leaf          error rate             true nn           subdomain
               0.015              0.0437              0.5477             468.832
                0.03              0.0419              0.6433             937.525
                0.06              0.0376              0.7326                1875
                0.09              0.0343              0.8217                3750
                 0.1              0.0343              0.8217                3750
                0.13              0.0338              0.8889             7500.01
                0.15              0.0338              0.8889             7500.01
                0.17              0.0338              0.8889             7500.01
                0.19              0.0338              0.8889             7500.01
                0.21              0.0338              0.8889             7500.01
