                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05              0.0442              0.6797             502.158             1.94
               0.015                 0.1              0.0379              0.7892             604.102              4.30
                0.03                0.05              0.0372               0.771             1660.62             1.61
                0.03                 0.1              0.0345              0.8563             1679.22             2.98
                0.06                0.05              0.0373              0.8151             3019.62             1.46
                0.06                 0.1              0.0349              0.8804             2799.22             2.48
                0.09                0.05              0.0373              0.8151             3019.62             1.46
                0.09                 0.1              0.0342              0.9043             4665.49              2.07
                 0.1                0.05              0.0351              0.8575             5490.22             1.33
                 0.1                 0.1              0.0342              0.9043             4665.49              2.07
                0.13                0.05              0.0351              0.8575             5490.22             1.33
                0.13                 0.1              0.0333              0.9302                7776               1.72
                0.15                0.05              0.0351              0.8575             5490.22             1.33
                0.15                 0.1              0.0333              0.9302                7776               1.72
                0.17                0.05              0.0345              0.8893              9982.5                1.21
                0.17                 0.1              0.0333              0.9302                7776               1.72
                0.19                0.05              0.0345              0.8893              9982.5                1.21
                0.19                 0.1              0.0333              0.9302                7776               1.72
                0.21                0.05              0.0345              0.8893              9982.5                1.21
                0.21                 0.1              0.0333              0.9302                7776               1.72
