                leaf          error rate             true nn           subdomain
               0.015              0.0534              0.5582             468.754
                0.03              0.0486              0.6153             937.501
                0.06              0.0434              0.6782                1875
                0.09              0.0397              0.7414                3750
                 0.1              0.0397              0.7414                3750
                0.13              0.0387              0.7959                7500
                0.15              0.0387              0.7959                7500
                0.17              0.0387              0.7959                7500
                0.19              0.0387              0.7959                7500
                0.21              0.0387              0.7959                7500
