                leaf               alpha          error rate             true nn           subdomain        space blowup
                0.05                0.05              0.0493              0.5768             1660.47              1.6112
                0.05                 0.1              0.0389              0.6279             2799.25             2.48853
                0.08                0.05              0.0456              0.6415             3019.55             1.46427
                0.08                 0.1               0.037              0.6854              4665.5              2.0736
                 0.1                0.05              0.0418              0.7078             5490.25             1.33107
                 0.1                 0.1               0.037              0.6854              4665.5              2.0736
                0.13                0.05              0.0418              0.7078             5490.25             1.33107
                0.13                 0.1              0.0343              0.7404                7776               1.728
                0.15                0.05              0.0418              0.7078             5490.25             1.33107
                0.15                 0.1              0.0343              0.7404                7776               1.728
                0.17                0.05              0.0387              0.7587              9982.5                1.21
                0.17                 0.1              0.0343              0.7404                7776               1.728
                0.19                0.05              0.0387              0.7587              9982.5                1.21
                0.19                 0.1              0.0343              0.7404                7776               1.728
                0.21                0.05              0.0387              0.7587              9982.5                1.21
                0.21                 0.1              0.0343              0.7404                7776               1.728
                0.23                0.05              0.0387              0.7587              9982.5                1.21
                0.23                 0.1              0.0343              0.7923               12960                1.44
                0.25                0.05              0.0387              0.7587              9982.5                1.21
                0.25                 0.1              0.0343              0.7923               12960                1.44
