                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05              0.0497              0.4918             502.163             1.94
               0.015                 0.1              0.0454              0.5373             604.156              4.30
                0.03                0.05              0.0441              0.6091             1660.63             1.61
                0.03                 0.1              0.0396              0.6401             1679.28             2.98
                0.06                0.05              0.0393              0.6753             3019.63             1.46
                0.06                 0.1              0.0379              0.6885             2799.28             2.48
                0.09                0.05              0.0393              0.6753             3019.63             1.46
                0.09                 0.1               0.037              0.7376             4665.53              2.07
                 0.1                0.05              0.0373              0.7439             5490.26             1.33
                 0.1                 0.1               0.037              0.7376             4665.53              2.07
                0.13                0.05              0.0373              0.7439             5490.26             1.33
                0.13                 0.1              0.0351              0.7869                7776               1.72
                0.15                0.05              0.0373              0.7439             5490.26             1.33
                0.15                 0.1              0.0351              0.7869                7776               1.72
                0.17                0.05              0.0364              0.8073             9982.51                1.21
                0.17                 0.1              0.0351              0.7869                7776               1.72
                0.19                0.05              0.0364              0.8073             9982.51                1.21
                0.19                 0.1              0.0351              0.7869                7776               1.72
                0.21                0.05              0.0364              0.8073             9982.51                1.21
                0.21                 0.1              0.0351              0.7869                7776               1.72
