                leaf          error rate             true nn           subdomain
               0.015              0.0576              0.4372             468.769
                0.03              0.0524              0.5069             937.511
                0.06              0.0496              0.5904                1875
                0.09              0.0436              0.6714                3750
                 0.1              0.0436              0.6714                3750
                0.13              0.0408              0.7421                7500
                0.15              0.0408              0.7421                7500
                0.17              0.0408              0.7421                7500
                0.19              0.0408              0.7421                7500
                0.21              0.0408              0.7421                7500
