                leaf               alpha          error rate             true nn           subdomain    number of leaves
               0.015                0.05              0.0343              0.7582             10489.4             22.3727
               0.015                 0.1              0.0326              0.8455             14729.5             31.4185
                0.03                0.05              0.0339              0.8005             13581.9             14.4859
                0.03                 0.1              0.0324              0.8777             17570.9             18.7406
                0.06                0.05              0.0332              0.8481               16878              9.0016
                0.06                 0.1              0.0317               0.904             20795.4             11.0909
                0.09                0.05              0.0332              0.8893             21017.6              5.6047
                0.09                 0.1               0.032              0.9327             25483.1              6.7955
                 0.1                0.05              0.0332              0.8893             21017.6              5.6047
                 0.1                 0.1               0.032              0.9327             25483.1              6.7955
                0.13                0.05              0.0334              0.9184               26991              3.5988
                0.13                 0.1              0.0323              0.9521             31874.2              4.2499
                0.15                0.05              0.0334              0.9184               26991              3.5988
                0.15                 0.1              0.0323              0.9521             31874.2              4.2499
                0.17                0.05              0.0334              0.9184               26991              3.5988
                0.17                 0.1              0.0323              0.9521             31874.2              4.2499
                0.19                0.05              0.0334              0.9184               26991              3.5988
                0.19                 0.1              0.0323              0.9521             31874.2              4.2499
                0.21                0.05              0.0334              0.9184               26991              3.5988
                0.21                 0.1              0.0323              0.9521             31874.2              4.2499
