                leaf          error rate             true nn           subdomain
               0.015              0.0397              0.6332             937.502
                0.03              0.0363              0.7056                1875
               0.045              0.0347              0.7767                3750
                0.06              0.0347              0.7767                3750
               0.075              0.0332              0.8399                7500
                0.09              0.0332              0.8399                7500
               0.105              0.0332              0.8399                7500
                0.12              0.0332              0.8399                7500
               0.135              0.0319              0.8962               15000
                0.15              0.0319              0.8962               15000
