                leaf               alpha          error rate             true nn           subdomain
               0.015                0.05              0.0442              0.6797             502.158
               0.015                 0.1              0.0379              0.7892             604.102
                0.03                0.05              0.0372               0.771             1660.62
                0.03                 0.1              0.0345              0.8563             1679.22
               0.045                0.05              0.0372               0.771             1660.62
               0.045                 0.1              0.0345              0.8563             1679.22
                0.06                0.05              0.0373              0.8151             3019.62
                0.06                 0.1              0.0349              0.8804             2799.22
               0.075                0.05              0.0373              0.8151             3019.62
               0.075                 0.1              0.0349              0.8804             2799.22
                0.09                0.05              0.0373              0.8151             3019.62
                0.09                 0.1              0.0342              0.9043             4665.49
               0.105                0.05              0.0351              0.8575             5490.22
               0.105                 0.1              0.0342              0.9043             4665.49
                0.12                0.05              0.0351              0.8575             5490.22
                0.12                 0.1              0.0342              0.9043             4665.49
               0.135                0.05              0.0351              0.8575             5490.22
               0.135                 0.1              0.0333              0.9302                7776
                0.15                0.05              0.0351              0.8575             5490.22
                0.15                 0.1              0.0333              0.9302                7776
