                leaf          error rate             true nn           subdomain
               0.015              0.0534              0.5582             468.754
                0.03              0.0486              0.6153             937.501
               0.045              0.0434              0.6782                1875
                0.06              0.0434              0.6782                1875
               0.075              0.0397              0.7414                3750
                0.09              0.0397              0.7414                3750
               0.105              0.0397              0.7414                3750
                0.12              0.0397              0.7414                3750
               0.135              0.0387              0.7959                7500
                0.15              0.0387              0.7959                7500
