                leaf          error rate             true nn           subdomain
               0.015              0.0605              0.3212             468.754
                0.03              0.0537              0.3963             937.487
                0.06              0.0468              0.4756             1874.98
                0.09              0.0433              0.5707                3750
                 0.1              0.0433              0.5707                3750
                0.13              0.0405              0.6685                7500
                0.15              0.0405              0.6685                7500
                0.17              0.0405              0.6685                7500
                0.19              0.0405              0.6685                7500
                0.21              0.0405              0.6685                7500
