                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05              0.0507              0.5017             502.122               1.952
               0.015                 0.1               0.047              0.5466             604.324              4.3008
                0.03                0.05              0.0435              0.6286             1660.48              1.6112
                0.03                 0.1              0.0427              0.6443             1679.35             2.98667
                0.06                0.05              0.0394              0.6907             3019.53             1.46427
                0.06                 0.1              0.0397               0.697             2799.28             2.48853
                0.09                0.05              0.0394              0.6907             3019.53             1.46427
                0.09                 0.1              0.0394              0.7515             4665.48              2.0736
                 0.1                0.05              0.0381              0.7568             5490.23             1.33107
                 0.1                 0.1              0.0394              0.7515             4665.48              2.0736
                0.13                0.05              0.0381              0.7568             5490.23             1.33107
                0.13                 0.1              0.0371               0.804                7776               1.728
                0.15                0.05              0.0381              0.7568             5490.23             1.33107
                0.15                 0.1              0.0371               0.804                7776               1.728
                0.17                0.05              0.0353              0.8206             9982.51                1.21
                0.17                 0.1              0.0371               0.804                7776               1.728
                0.19                0.05              0.0353              0.8206             9982.51                1.21
                0.19                 0.1              0.0371               0.804                7776               1.728
                0.21                0.05              0.0353              0.8206             9982.51                1.21
                0.21                 0.1              0.0371               0.804                7776               1.728
