                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05              0.0445               0.679                 502             1.94773
               0.015                 0.1              0.0383              0.7984                 604             4.29653
                0.03                0.05              0.0398              0.7671                1660             1.61013
                0.03                 0.1              0.0368              0.8612                1679              2.9856
                0.06                0.05              0.0374              0.8145                3019               1.464
                0.06                 0.1               0.035              0.8861                2799               2.488
                0.09                0.05              0.0374              0.8145                3019               1.464
                0.09                 0.1              0.0339              0.9065                4665              2.0736
                 0.1                0.05              0.0365              0.8514                5490             1.33093
                 0.1                 0.1              0.0339              0.9065                4665              2.0736
                0.13                0.05              0.0365              0.8514                5490             1.33093
                0.13                 0.1              0.0332              0.9287                7776               1.728
                0.15                0.05              0.0365              0.8514                5490             1.33093
                0.15                 0.1              0.0332              0.9287                7776               1.728
                0.17                0.05              0.0354              0.8822                9982                1.21
                0.17                 0.1              0.0332              0.9287                7776               1.728
                0.19                0.05              0.0354              0.8822                9982                1.21
                0.19                 0.1              0.0332              0.9287                7776               1.728
                0.21                0.05              0.0354              0.8822                9982                1.21
                0.21                 0.1              0.0332              0.9287                7776               1.728
