                leaf          error rate             true nn           subdomain
               0.015              0.0542              0.5477             468.735
                0.03              0.0504              0.6113             937.484
                0.06              0.0461              0.6758                1875
                0.09              0.0424              0.7308                3750
                 0.1              0.0424              0.7308                3750
                0.13              0.0395              0.7816                7500
                0.15              0.0395              0.7816                7500
                0.17              0.0395              0.7816                7500
                0.19              0.0395              0.7816                7500
                0.21              0.0395              0.7816                7500
