                leaf          error rate             true nn           subdomain
               0.015                   0            0.168925             1280.03
                0.03                   0            0.249359             2560.11
                0.06                   0            0.347126             5120.28
                0.09                   0            0.486025             10240.7
                 0.1                   0            0.486025             10240.7
                0.13                   0            0.640669             20482.6
                0.15                   0            0.640669             20482.6
                0.17                   0            0.640669             20482.6
                0.19                   0            0.640669             20482.6
                0.21                   0            0.640669             20482.6
