                leaf          error rate             true nn           subdomain
                0.05                   0            0.269376             1280.19
                0.08                   0            0.354571             2560.33
                 0.1                   0            0.354571             2560.33
                0.13                   0            0.455877             5120.74
                0.15                   0            0.455877             5120.74
                0.17                   0            0.455877             5120.74
                0.19                   0            0.455877             5120.74
                0.21                   0            0.455877             5120.74
                0.23                   0            0.455877             5120.74
                0.25                   0            0.455877             5120.74
