                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05                   0             0.25656             342.665             1.94
               0.015                 0.1                   0            0.320029             412.376             4.29
                0.03                0.05                   0            0.372513             1133.57              1.61
                0.03                 0.1                   0            0.432931              1146.4              2.98
                0.06                0.05                   0            0.438789             2061.13             1.46
                0.06                 0.1                   0            0.489198             1910.78             2.48
                0.09                0.05                   0            0.438789             2061.13             1.46
                0.09                 0.1                   0            0.543269             3184.78             2.07
                 0.1                0.05                   0            0.505065             3748.25             1.33
                 0.1                 0.1                   0            0.543269             3184.78             2.07
                0.13                0.05                   0            0.505065             3748.25             1.33
                0.13                 0.1                   0            0.605273             5308.57             1.72
                0.15                0.05                   0            0.505065             3748.25             1.33
                0.15                 0.1                   0            0.605273             5308.57             1.72
                0.17                0.05                   0             0.59087             6815.49             1.20
                0.17                 0.1                   0            0.605273             5308.57             1.72
                0.19                0.05                   0             0.59087             6815.49             1.20
                0.19                 0.1                   0            0.605273             5308.57             1.72
                0.21                0.05                   0             0.59087             6815.49             1.20
                0.21                 0.1                   0            0.605273             5308.57             1.72
