                leaf          error rate             true nn           subdomain
               0.015                   0            0.201636             320.051
                0.03                   0            0.257903             640.099
                0.06                   0            0.323203              1280.2
                0.09                   0            0.398999             2560.38
                 0.1                   0            0.398999             2560.38
                0.13                   0            0.496888             5120.76
                0.15                   0            0.496888             5120.76
                0.17                   0            0.496888             5120.76
                0.19                   0            0.496888             5120.76
                0.21                   0            0.496888             5120.76
