                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.015                0.05                   0            0.059563             342.447             1.94
               0.015                 0.1                   0           0.0811668             412.176             4.29
                0.03                0.05                   0            0.111559             1133.27              1.61
                0.03                 0.1                   0            0.137556             1146.18              2.98
                0.06                0.05                   0            0.160259             2061.01             1.46
                0.06                 0.1                   0            0.175394             1910.45             2.48
                0.09                0.05                   0            0.160259             2061.01             1.46
                0.09                 0.1                   0            0.238252             3184.45             2.07
                 0.1                0.05                   0            0.235933             3748.05             1.33
                 0.1                 0.1                   0            0.238252             3184.45             2.07
                0.13                0.05                   0            0.235933             3748.05             1.33
                0.13                 0.1                   0            0.312828              5308.3             1.72
                0.15                0.05                   0            0.235933             3748.05             1.33
                0.15                 0.1                   0            0.312828              5308.3             1.72
                0.17                0.05                   0            0.329794             6815.15             1.20
                0.17                 0.1                   0            0.312828              5308.3             1.72
                0.19                0.05                   0            0.329794             6815.15             1.20
                0.19                 0.1                   0            0.312828              5308.3             1.72
                0.21                0.05                   0            0.329794             6815.15             1.20
                0.21                 0.1                   0            0.312828              5308.3             1.72
