                leaf          error rate             true nn           subdomain
                0.05                   0            0.190162             1280.18
                0.08                   0            0.252777             2560.38
                 0.1                   0            0.252777             2560.38
                0.13                   0            0.348956             5120.75
                0.15                   0            0.348956             5120.75
                0.17                   0            0.348956             5120.75
                0.19                   0            0.348956             5120.75
                0.21                   0            0.348956             5120.75
                0.23                   0            0.348956             5120.75
                0.25                   0            0.348956             5120.75
