                leaf               alpha          error rate             true nn           subdomain    number of leaves
               0.015                0.05                   0            0.113512             1134.41             3.54
               0.015                 0.1                   0             0.11876             1226.44              3.83
                0.03                0.05                   0            0.148175             1867.16             2.91
                0.03                 0.1                   0            0.151593             1934.51             3.02
                0.06                0.05                   0            0.213353             3124.52             2.44
                0.06                 0.1                   0            0.214207             3139.52             2.45
                0.09                0.05                   0            0.289027             5157.97             2.01
                0.09                 0.1                   0            0.289882             5182.66             2.02
                 0.1                0.05                   0            0.289027             5157.97             2.01
                 0.1                 0.1                   0            0.289882             5182.66             2.02
                0.13                0.05                   0            0.386672             8483.74             1.65
                0.13                 0.1                   0            0.386672             8483.74             1.65
                0.15                0.05                   0            0.386672             8483.74             1.65
                0.15                 0.1                   0            0.386672             8483.74             1.65
                0.17                0.05                   0            0.386672             8483.74             1.65
                0.17                 0.1                   0            0.386672             8483.74             1.65
                0.19                0.05                   0            0.386672             8483.74             1.65
                0.19                 0.1                   0            0.386672             8483.74             1.65
                0.21                0.05                   0            0.386672             8483.74             1.65
                0.21                 0.1                   0            0.386672             8483.74             1.65
