                leaf          error rate             true nn           subdomain
               0.015                   0            0.106554             640.017
                0.03                   0            0.155987             1280.05
                0.06                   0            0.233248             2560.14
                0.09                   0            0.334554             5120.36
                 0.1                   0            0.334554             5120.36
                0.13                   0            0.460759             10241.1
                0.15                   0            0.460759             10241.1
                0.17                   0            0.460759             10241.1
                0.19                   0            0.460759             10241.1
                0.21                   0            0.460759             10241.1
