                leaf          error rate             true nn           subdomain
               0.001                   0              0.4342             962.361
               0.002                   0              0.5082             1924.74
               0.004                   0              0.5828             3849.46
               0.006                   0              0.5828             3849.46
               0.008                   0              0.6628             7698.93
                0.01                   0              0.6628             7698.93
               0.015                   0              0.6628             7698.93
                0.02                   0              0.7409             15397.8
                0.03                   0              0.7409             15397.8
                0.05                   0              0.8117             30795.7
