                leaf          error rate             true nn           subdomain
               0.001                   0              0.3437             962.388
               0.002                   0              0.4137             1924.75
               0.004                   0              0.4898              3849.5
               0.006                   0              0.4898              3849.5
               0.008                   0              0.5797             7698.94
                0.01                   0              0.5797             7698.94
               0.015                   0              0.5797             7698.94
                0.02                   0              0.6687             15397.8
                0.03                   0              0.6687             15397.8
                0.05                   0              0.7576             30795.7
