                leaf          error rate             true nn           subdomain
               0.001                   0              0.3087             962.366
               0.002                   0              0.3611             1924.73
               0.004                   0              0.4203             3849.46
               0.006                   0              0.4203             3849.46
               0.008                   0              0.4908             7698.92
                0.01                   0              0.4908             7698.92
               0.015                   0              0.4908             7698.92
                0.02                   0              0.5676             15397.8
                0.03                   0              0.5676             15397.8
                0.05                   0                0.65             30795.7
