                leaf          error rate             true nn           subdomain
               0.005                   0               0.115             390.628
                0.01                   0              0.1606             781.245
               0.015                   0              0.1606             781.245
                0.02                   0              0.2168             1562.49
                0.03                   0              0.2168             1562.49
                0.05                   0              0.2881             3124.99
                0.08                   0              0.3718                6250
                 0.1                   0              0.3718                6250
                0.13                   0              0.4608               12500
                0.15                   0              0.4608               12500
