                leaf          error rate             true nn           subdomain
               0.005                   0              0.0632             390.629
                0.01                   0              0.0915              781.25
               0.015                   0              0.0915              781.25
                0.02                   0              0.1321             1562.51
                0.03                   0              0.1321             1562.51
                0.05                   0               0.196             3125.01
                0.08                   0              0.2693                6250
                 0.1                   0              0.2693                6250
                0.13                   0              0.3811               12500
                0.15                   0              0.3811               12500
