                leaf          error rate             true nn           subdomain
               0.005                   0              0.3087             390.642
                0.01                   0              0.3962             781.246
               0.015                   0              0.3962             781.246
                0.02                   0              0.4991             1562.48
                0.03                   0              0.4991             1562.48
                0.05                   0              0.6122             3124.99
                0.08                   0              0.7214             6249.99
                 0.1                   0              0.7214             6249.99
                0.13                   0              0.8261               12500
                0.15                   0              0.8261               12500
