                leaf               alpha          error rate             true nn           subdomain        space blowup
               0.005                0.05                   0              0.1361              459.99             2.14528
               0.005                 0.1                   0              0.1499             362.326              6.1952
                0.01                0.05                   0              0.1762             836.961             1.94944
                0.01                 0.1                   0              0.1853             604.242             5.16096
               0.015                0.05                   0              0.1762             836.961             1.94944
               0.015                 0.1                   0              0.2293             1007.44              4.3008
                0.02                0.05                   0              0.2284             1521.89             1.77216
                0.02                 0.1                   0              0.2758             1679.26               3.584
                0.03                0.05                   0              0.2942             2767.75             1.61088
                0.03                 0.1                   0              0.3352             2799.27             2.98624
                0.05                0.05                   0              0.2942             2767.75             1.61088
                0.05                 0.1                   0              0.4028              4665.5             2.48832
                0.08                0.05                   0              0.3818             5032.46             1.46416
                0.08                 0.1                   0              0.4774                7776              2.0736
                 0.1                0.05                   0              0.4695             9150.21             1.33104
                 0.1                 0.1                   0              0.4774                7776              2.0736
                0.13                0.05                   0              0.4695             9150.21             1.33104
                0.13                 0.1                   0              0.5536               12960               1.728
                0.15                0.05                   0              0.4695             9150.21             1.33104
                0.15                 0.1                   0              0.5536               12960               1.728
